Id,Transaction,Category
1,Bought meals from hotel,food
2,Purchased snacks and shakes,food
3,today I bought cool drinks and snacks,food
4,coffee and fried chips today,food
5,today I bought biryani,food
6,"I happened to buy orea biscuits, coffee",food
7,I had snacks today,food
8,I bought rice and other vegetablestoday,food
9,purchased green vegetables,food
10,bought 1 kg chicken,food
11,purchased fruits and veggies,food
12,today i bought meals,food
13,today i happend to buy vegitables,food
14,i bought sauce and noodles,food
15,purchased eggs and milk,food
16,bought eggs and bread,food
17,I bought coffee and tea today,food
18,purchased new groceries today,food
19,today i went for vegetables shopping,food
20,i purchased 1 litre milk and meat today,food
21," today i bought rice, chicken and other items",food
22,todays food expense for me,food
23,i bought two meals today,food
24,total cost of the buying grocery ,food
25,Today i purchased vegitables,food
26,i bought ice creams and bread today,food
27,i went to bakery and bought cakes,food
28,i bought some stuffs from super market,food
29,went to hyper market for some food shopping,food
30,i bought all food from the super market today,food
31,Today i purchased fresh fruits and vegetables,food
32,I bought dry fruits and milk today,food
33,spend on bread and eggs,food
34,i bought meals today,food
35,took money to buy fish and meat,food
36,i bought fish and chips today,food
37,today i purchased burger and sandwich,food
38,today i bought a cream biscuits and chips,food
39,bought all house grocery and bread,food
40,purchased 1 liter of oil today,food
41,today i bought 1 kilo of beans and 1 litre of olive oil,food
42,purchased coconut and vegetbles today,food
43,bought some cashew nuts and dried fruits,food
44,my expense for meals,food
45,today i bought some cookies and milk,food
46,today amount spent on lunch,food
47,money spent for dinner,food
48,i had bread and jam for breakfast,food
49,order food through uber eats,food
50,I have ordered my meals swiggy,food
51,I have ordered from swiggy,food
52,uber eats food ordered,food
53,I have ordered burger throught uber eats,food
54,I had my afternoon lunch,food
54,I bought meals in the afternoon,food
55,I had my dinner,food
56,had my breakfast from hotel,transport
57,filled petrol,transport
58,today i filled gas,transport
59,petrol is filled ,transport
60,travel expense,transport
61,today i filled diesel,transport
62,purchased petrol,transport
63,today i traveled to kochi,transport
64,i had to repair the car,transport
65,went for a drive in the city,transport
66,i had to fill diesel on my car,transport
67,went for bike trip,transport
68,my bike got break down today,transport
